Date,Channel,SKU,Vendor,Wheel,Size,Bolt Pattern,Finish,Price,ID,Monthly Total,Monthly Sets,,
3/17/2025,Shopify,GL-57NR-189.5+45-5120-GB,Gram Lights,Gram Lights 57NR,18x9.5 +45,5x120,Glass Black,"$1,976.25",Gram Lights 57NR18x9.5 +455x120Glass Black,,,,
3/17/2025,eBay,V-RacingTE37SagaSL-189.5+22-51143-PG,Volk,Volk Racing TE37 Saga SL,18x9.5 +22,5x114.3,Pressed Graphite,"$3,100.00",Volk Racing TE37 Saga SL18x9.5 +225x114.3Pressed Graphite,,,,
3/16/2025,eBay,E-RPF1-179+22-51143-SS,Enkei,Enkei RPF1,17x9 +22,5x114.3,F1 Silver,$273.65,Enkei RPF117x9 +225x114.3F1 Silver,,,,
3/16/2025,eBay,M-MF10-189.5+45-5120-W,Mugen,Mugen MF10,18x9.5 +45,5x120,White,"$3,300.00",Mugen MF1018x9.5 +455x120White,,,,
3/16/2025,eBay,V-RacingTE37XT-178.5-3-6135-BR,Volk,Volk Racing TE37XT,17x8.5 -3,6x135,Bronze,"$3,196.90",Volk Racing TE37XT17x8.5 -36x135Bronze,,,,
3/15/2025,Shopify,GL-57DR-189.5+38-5100-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x100,Chrome Plating,"$2,587.00",Gram Lights 57DR18x9.5 +385x100Chrome Plating,,,,
3/13/2025,Shopify,GL-57DR-189.5+38-51143-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Chrome Plating,"$2,587.00",Gram Lights 57DR18x9.5 +385x114.3Chrome Plating,,,,
3/13/2025,Shopify,GL-57CR-189.5+38-5100-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x100,Chrome Plating,"$2,587.00",Gram Lights 57CR18x9.5 +385x100Chrome Plating,,,,
3/13/2025,Shopify,W-MeisterS12P-159.5-8-4100-SLV,Work,Work Meister S1 2P,15x9.5 -8,4x100,Silver,$397.00,Work Meister S1 2P15x9.5 -84x100Silver,,,,
3/13/2025,eBay,E-NT03RR-189.5+40-51143-G,Enkei,Enkei NT03RR,18x9.5 +40,5x114.3,Gunmetal,"$1,015.84",Enkei NT03RR18x9.5 +405x114.3Gunmetal,,,,
3/13/2025,eBay,E-NT03RR-189.5+40-51143-G,Enkei,Enkei NT03RR,18x9.5 +40,5x114.3,Gunmetal,"$1,015.84",Enkei NT03RR18x9.5 +405x114.3Gunmetal,,,,
3/13/2025,eBay,V-RacingCE28NPlus-189.5+22-51143-B,Volk,Volk Racing CE28N-Plus,18x9.5 +22,5x114.3,Black,"$3,195.00",Volk Racing CE28N-Plus18x9.5 +225x114.3Black,,,,
